"","rules","support","confidence","coverage","lift","count"
"1","{foundation} => {select}",0.0833333333333333,0.5,0.166666666666667,3,1
"2","{select} => {foundation}",0.0833333333333333,0.5,0.166666666666667,3,1
"3","{foundation} => {bronze}",0.0833333333333333,0.5,0.166666666666667,1.5,1
"4","{bronze} => {foundation}",0.0833333333333333,0.25,0.333333333333333,1.5,1
"5","{foundation} => {1st cust lasu / 2nd}",0.0833333333333333,0.5,0.166666666666667,1.5,1
"6","{1st cust lasu / 2nd} => {foundation}",0.0833333333333333,0.25,0.333333333333333,1.5,1
"7","{foundation} => {1st cust lasci / 2nd}",0.0833333333333333,0.5,0.166666666666667,1.2,1
"8","{foundation} => {silver}",0.166666666666667,1,0.166666666666667,2.4,2
"9","{silver} => {foundation}",0.166666666666667,0.4,0.416666666666667,2.4,2
"10","{foundation} => {1st cust-lasci /2nd}",0.166666666666667,1,0.166666666666667,2,2
"11","{1st cust-lasci /2nd} => {foundation}",0.166666666666667,0.333333333333333,0.5,2,2
"12","{foundation} => {1st cust-lasu/ 2nd c}",0.166666666666667,1,0.166666666666667,1.5,2
"13","{1st cust-lasu/ 2nd c} => {foundation}",0.166666666666667,0.25,0.666666666666667,1.5,2
"14","{foundation} => {plus}",0.166666666666667,1,0.166666666666667,1.5,2
"15","{plus} => {foundation}",0.166666666666667,0.25,0.666666666666667,1.5,2
"16","{foundation} => {gold}",0.166666666666667,1,0.166666666666667,1.33333333333333,2
"17","{foundation} => {1st cust - lasci / 2}",0.166666666666667,1,0.166666666666667,1.2,2
"18","{foundation} => {lasci}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"19","{foundation} => {joint lasu}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"20","{foundation} => {joint lasci}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"21","{foundation} => {joint}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"22","{foundation} => {1st cust - lasu / 2n}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"23","{foundation} => {life & critical illn}",0.166666666666667,1,0.166666666666667,1,2
"24","{foundation} => {other}",0.166666666666667,1,0.166666666666667,1,2
"25","{foundation} => {life & ci}",0.166666666666667,1,0.166666666666667,1,2
"26","{foundation} => {lasu}",0.166666666666667,1,0.166666666666667,1,2
"27","{foundation} => {single}",0.166666666666667,1,0.166666666666667,1,2
"28","{foundation} => {joint life & critica}",0.166666666666667,1,0.166666666666667,1,2
"29","{select} => {bronze}",0.0833333333333333,0.5,0.166666666666667,1.5,1
"30","{bronze} => {select}",0.0833333333333333,0.25,0.333333333333333,1.5,1
"31","{select} => {1st cust lasu / 2nd}",0.166666666666667,1,0.166666666666667,3,2
"32","{1st cust lasu / 2nd} => {select}",0.166666666666667,0.5,0.333333333333333,3,2
"33","{select} => {1st cust lasci / 2nd}",0.0833333333333333,0.5,0.166666666666667,1.2,1
"34","{select} => {silver}",0.166666666666667,1,0.166666666666667,2.4,2
"35","{silver} => {select}",0.166666666666667,0.4,0.416666666666667,2.4,2
"36","{select} => {1st cust-lasci /2nd}",0.166666666666667,1,0.166666666666667,2,2
"37","{1st cust-lasci /2nd} => {select}",0.166666666666667,0.333333333333333,0.5,2,2
"38","{select} => {1st cust-lasu/ 2nd c}",0.166666666666667,1,0.166666666666667,1.5,2
"39","{1st cust-lasu/ 2nd c} => {select}",0.166666666666667,0.25,0.666666666666667,1.5,2
"40","{select} => {plus}",0.166666666666667,1,0.166666666666667,1.5,2
"41","{plus} => {select}",0.166666666666667,0.25,0.666666666666667,1.5,2
"42","{select} => {gold}",0.166666666666667,1,0.166666666666667,1.33333333333333,2
"43","{select} => {1st cust - lasci / 2}",0.166666666666667,1,0.166666666666667,1.2,2
"44","{select} => {lasci}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"45","{select} => {joint lasu}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"46","{select} => {joint lasci}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"47","{select} => {joint}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"48","{select} => {1st cust - lasu / 2n}",0.166666666666667,1,0.166666666666667,1.09090909090909,2
"49","{select} => {life & critical illn}",0.166666666666667,1,0.166666666666667,1,2
"50","{select} => {other}",0.166666666666667,1,0.166666666666667,1,2
"51","{select} => {life & ci}",0.166666666666667,1,0.166666666666667,1,2
"52","{select} => {lasu}",0.166666666666667,1,0.166666666666667,1,2
"53","{select} => {single}",0.166666666666667,1,0.166666666666667,1,2
"54","{select} => {joint life & critica}",0.166666666666667,1,0.166666666666667,1,2
"55","{bronze} => {1st cust lasu / 2nd}",0.166666666666667,0.5,0.333333333333333,1.5,2
"56","{1st cust lasu / 2nd} => {bronze}",0.166666666666667,0.5,0.333333333333333,1.5,2
"57","{bronze} => {1st cust lasci / 2nd}",0.166666666666667,0.5,0.333333333333333,1.2,2
"58","{1st cust lasci / 2nd} => {bronze}",0.166666666666667,0.4,0.416666666666667,1.2,2
"59","{bronze} => {silver}",0.25,0.75,0.333333333333333,1.8,3
"60","{silver} => {bronze}",0.25,0.6,0.416666666666667,1.8,3
"61","{bronze} => {1st cust-lasci /2nd}",0.25,0.75,0.333333333333333,1.5,3
"62","{1st cust-lasci /2nd} => {bronze}",0.25,0.5,0.5,1.5,3
"63","{bronze} => {1st cust-lasu/ 2nd c}",0.166666666666667,0.5,0.333333333333333,0.75,2
"64","{1st cust-lasu/ 2nd c} => {bronze}",0.166666666666667,0.25,0.666666666666667,0.75,2
"65","{bronze} => {plus}",0.333333333333333,1,0.333333333333333,1.5,4
"66","{plus} => {bronze}",0.333333333333333,0.5,0.666666666666667,1.5,4
"67","{bronze} => {gold}",0.25,0.75,0.333333333333333,1,3
"68","{gold} => {bronze}",0.25,0.333333333333333,0.75,1,3
"69","{bronze} => {1st cust - lasci / 2}",0.25,0.75,0.333333333333333,0.9,3
"70","{1st cust - lasci / 2} => {bronze}",0.25,0.3,0.833333333333333,0.9,3
"71","{bronze} => {lasci}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"72","{lasci} => {bronze}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"73","{bronze} => {joint lasu}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"74","{joint lasu} => {bronze}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"75","{bronze} => {joint lasci}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"76","{joint lasci} => {bronze}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"77","{bronze} => {joint}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"78","{joint} => {bronze}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"79","{bronze} => {1st cust - lasu / 2n}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"80","{1st cust - lasu / 2n} => {bronze}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"81","{bronze} => {life & critical illn}",0.333333333333333,1,0.333333333333333,1,4
"82","{life & critical illn} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"83","{bronze} => {other}",0.333333333333333,1,0.333333333333333,1,4
"84","{other} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"85","{bronze} => {life & ci}",0.333333333333333,1,0.333333333333333,1,4
"86","{life & ci} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"87","{bronze} => {lasu}",0.333333333333333,1,0.333333333333333,1,4
"88","{lasu} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"89","{bronze} => {single}",0.333333333333333,1,0.333333333333333,1,4
"90","{single} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"91","{bronze} => {joint life & critica}",0.333333333333333,1,0.333333333333333,1,4
"92","{joint life & critica} => {bronze}",0.333333333333333,0.333333333333333,1,1,4
"93","{1st cust lasu / 2nd} => {1st cust lasci / 2nd}",0.166666666666667,0.5,0.333333333333333,1.2,2
"94","{1st cust lasci / 2nd} => {1st cust lasu / 2nd}",0.166666666666667,0.4,0.416666666666667,1.2,2
"95","{1st cust lasu / 2nd} => {silver}",0.25,0.75,0.333333333333333,1.8,3
"96","{silver} => {1st cust lasu / 2nd}",0.25,0.6,0.416666666666667,1.8,3
"97","{1st cust lasu / 2nd} => {1st cust-lasci /2nd}",0.25,0.75,0.333333333333333,1.5,3
"98","{1st cust-lasci /2nd} => {1st cust lasu / 2nd}",0.25,0.5,0.5,1.5,3
"99","{1st cust lasu / 2nd} => {1st cust-lasu/ 2nd c}",0.25,0.75,0.333333333333333,1.125,3
"100","{1st cust-lasu/ 2nd c} => {1st cust lasu / 2nd}",0.25,0.375,0.666666666666667,1.125,3
"101","{1st cust lasu / 2nd} => {plus}",0.333333333333333,1,0.333333333333333,1.5,4
"102","{plus} => {1st cust lasu / 2nd}",0.333333333333333,0.5,0.666666666666667,1.5,4
"103","{1st cust lasu / 2nd} => {gold}",0.333333333333333,1,0.333333333333333,1.33333333333333,4
"104","{gold} => {1st cust lasu / 2nd}",0.333333333333333,0.444444444444444,0.75,1.33333333333333,4
"105","{1st cust lasu / 2nd} => {1st cust - lasci / 2}",0.25,0.75,0.333333333333333,0.9,3
"106","{1st cust - lasci / 2} => {1st cust lasu / 2nd}",0.25,0.3,0.833333333333333,0.9,3
"107","{1st cust lasu / 2nd} => {lasci}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"108","{lasci} => {1st cust lasu / 2nd}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"109","{1st cust lasu / 2nd} => {joint lasu}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"110","{joint lasu} => {1st cust lasu / 2nd}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"111","{1st cust lasu / 2nd} => {joint lasci}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"112","{joint lasci} => {1st cust lasu / 2nd}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"113","{1st cust lasu / 2nd} => {joint}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"114","{joint} => {1st cust lasu / 2nd}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"115","{1st cust lasu / 2nd} => {1st cust - lasu / 2n}",0.333333333333333,1,0.333333333333333,1.09090909090909,4
"116","{1st cust - lasu / 2n} => {1st cust lasu / 2nd}",0.333333333333333,0.363636363636364,0.916666666666667,1.09090909090909,4
"117","{1st cust lasu / 2nd} => {life & critical illn}",0.333333333333333,1,0.333333333333333,1,4
"118","{life & critical illn} => {1st cust lasu / 2nd}",0.333333333333333,0.333333333333333,1,1,4
